"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","SHPRICE","TOT","IDX2015","M","1983-01",5.040573,
"IRL","SHPRICE","TOT","IDX2015","M","1983-02",5.008516,
"IRL","SHPRICE","TOT","IDX2015","M","1983-03",5.353253,
"IRL","SHPRICE","TOT","IDX2015","M","1983-04",6.008415,
"IRL","SHPRICE","TOT","IDX2015","M","1983-05",6.306596,
"IRL","SHPRICE","TOT","IDX2015","M","1983-06",6.876379,
"IRL","SHPRICE","TOT","IDX2015","M","1983-07",7.29248,
"IRL","SHPRICE","TOT","IDX2015","M","1983-08",8.115338,
"IRL","SHPRICE","TOT","IDX2015","M","1983-09",8.093913,
"IRL","SHPRICE","TOT","IDX2015","M","1983-10",7.96955,
"IRL","SHPRICE","TOT","IDX2015","M","1983-11",8.341351,
"IRL","SHPRICE","TOT","IDX2015","M","1983-12",8.770339,
"IRL","SHPRICE","TOT","IDX2015","M","1984-01",9.223814,
"IRL","SHPRICE","TOT","IDX2015","M","1984-02",9.439677,
"IRL","SHPRICE","TOT","IDX2015","M","1984-03",9.441772,
"IRL","SHPRICE","TOT","IDX2015","M","1984-04",9.511685,
"IRL","SHPRICE","TOT","IDX2015","M","1984-05",9.854006,
"IRL","SHPRICE","TOT","IDX2015","M","1984-06",8.862323,
"IRL","SHPRICE","TOT","IDX2015","M","1984-07",8.278364,
"IRL","SHPRICE","TOT","IDX2015","M","1984-08",8.569136,
"IRL","SHPRICE","TOT","IDX2015","M","1984-09",8.399022,
"IRL","SHPRICE","TOT","IDX2015","M","1984-10",8.40611,
"IRL","SHPRICE","TOT","IDX2015","M","1984-11",8.317348,
"IRL","SHPRICE","TOT","IDX2015","M","1984-12",8.049935,
"IRL","SHPRICE","TOT","IDX2015","M","1985-01",8.240185,
"IRL","SHPRICE","TOT","IDX2015","M","1985-02",8.645332,
"IRL","SHPRICE","TOT","IDX2015","M","1985-03",8.640821,
"IRL","SHPRICE","TOT","IDX2015","M","1985-04",8.297534,
"IRL","SHPRICE","TOT","IDX2015","M","1985-05",8.805136,
"IRL","SHPRICE","TOT","IDX2015","M","1985-06",8.997802,
"IRL","SHPRICE","TOT","IDX2015","M","1985-07",9.659729,
"IRL","SHPRICE","TOT","IDX2015","M","1985-08",10.18892,
"IRL","SHPRICE","TOT","IDX2015","M","1985-09",10.00656,
"IRL","SHPRICE","TOT","IDX2015","M","1985-10",10.13817,
"IRL","SHPRICE","TOT","IDX2015","M","1985-11",10.92044,
"IRL","SHPRICE","TOT","IDX2015","M","1985-12",11.62344,
"IRL","SHPRICE","TOT","IDX2015","M","1986-01",11.86492,
"IRL","SHPRICE","TOT","IDX2015","M","1986-02",12.54972,
"IRL","SHPRICE","TOT","IDX2015","M","1986-03",14.67759,
"IRL","SHPRICE","TOT","IDX2015","M","1986-04",15.26525,
"IRL","SHPRICE","TOT","IDX2015","M","1986-05",15.1636,
"IRL","SHPRICE","TOT","IDX2015","M","1986-06",14.34993,
"IRL","SHPRICE","TOT","IDX2015","M","1986-07",15.47193,
"IRL","SHPRICE","TOT","IDX2015","M","1986-08",15.30182,
"IRL","SHPRICE","TOT","IDX2015","M","1986-09",14.94565,
"IRL","SHPRICE","TOT","IDX2015","M","1986-10",14.3161,
"IRL","SHPRICE","TOT","IDX2015","M","1986-11",15.85082,
"IRL","SHPRICE","TOT","IDX2015","M","1986-12",17.24008,
"IRL","SHPRICE","TOT","IDX2015","M","1987-01",18.66994,
"IRL","SHPRICE","TOT","IDX2015","M","1987-02",19.66887,
"IRL","SHPRICE","TOT","IDX2015","M","1987-03",21.37113,
"IRL","SHPRICE","TOT","IDX2015","M","1987-04",20.39104,
"IRL","SHPRICE","TOT","IDX2015","M","1987-05",21.50113,
"IRL","SHPRICE","TOT","IDX2015","M","1987-06",21.97184,
"IRL","SHPRICE","TOT","IDX2015","M","1987-07",24.51549,
"IRL","SHPRICE","TOT","IDX2015","M","1987-08",25.07496,
"IRL","SHPRICE","TOT","IDX2015","M","1987-09",25.60463,
"IRL","SHPRICE","TOT","IDX2015","M","1987-10",25.03903,
"IRL","SHPRICE","TOT","IDX2015","M","1987-11",16.94464,
"IRL","SHPRICE","TOT","IDX2015","M","1987-12",15.84261,
"IRL","SHPRICE","TOT","IDX2015","M","1988-01",17.51104,
"IRL","SHPRICE","TOT","IDX2015","M","1988-02",17.96274,
"IRL","SHPRICE","TOT","IDX2015","M","1988-03",19.05462,
"IRL","SHPRICE","TOT","IDX2015","M","1988-04",19.24375,
"IRL","SHPRICE","TOT","IDX2015","M","1988-05",20.0948,
"IRL","SHPRICE","TOT","IDX2015","M","1988-06",22.77859,
"IRL","SHPRICE","TOT","IDX2015","M","1988-07",24.06394,
"IRL","SHPRICE","TOT","IDX2015","M","1988-08",23.22433,
"IRL","SHPRICE","TOT","IDX2015","M","1988-09",22.77972,
"IRL","SHPRICE","TOT","IDX2015","M","1988-10",23.70568,
"IRL","SHPRICE","TOT","IDX2015","M","1988-11",22.01147,
"IRL","SHPRICE","TOT","IDX2015","M","1988-12",21.83443,
"IRL","SHPRICE","TOT","IDX2015","M","1989-01",22.80437,
