"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","TAXSS","TOT","PC_GDP","A","1983",5.047,
"IRL","TAXSS","TOT","PC_GDP","A","1984",5.035,
"IRL","TAXSS","TOT","PC_GDP","A","1985",4.953,
"IRL","TAXSS","TOT","PC_GDP","A","1986",4.884,
"IRL","TAXSS","TOT","PC_GDP","A","1987",4.828,
"IRL","TAXSS","TOT","PC_GDP","A","1988",4.965,
"IRL","TAXSS","TOT","PC_GDP","A","1989",4.699,
"IRL","TAXSS","TOT","PC_GDP","A","1990",4.563,
"IRL","TAXSS","TOT","PC_GDP","A","1991",4.746,
"IRL","TAXSS","TOT","PC_GDP","A","1992",4.799,
"IRL","TAXSS","TOT","PC_GDP","A","1993",4.818,
"IRL","TAXSS","TOT","PC_GDP","A","1994",4.695,
"IRL","TAXSS","TOT","PC_GDP","A","1995",4.302,
"IRL","TAXSS","TOT","PC_GDP","A","1996",4.053,
"IRL","TAXSS","TOT","PC_GDP","A","1997",3.831,
"IRL","TAXSS","TOT","PC_GDP","A","1998",3.596,
"IRL","TAXSS","TOT","PC_GDP","A","1999",3.603,
"IRL","TAXSS","TOT","PC_GDP","A","2000",3.659,
"IRL","TAXSS","TOT","PC_GDP","A","2001",3.767,
"IRL","TAXSS","TOT","PC_GDP","A","2002",3.704,
"IRL","TAXSS","TOT","PC_GDP","A","2003",3.694,
"IRL","TAXSS","TOT","PC_GDP","A","2004",3.827,
"IRL","TAXSS","TOT","PC_GDP","A","2005",3.841,
"IRL","TAXSS","TOT","PC_GDP","A","2006",3.875,
"IRL","TAXSS","TOT","PC_GDP","A","2007",4.129,
"IRL","TAXSS","TOT","PC_GDP","A","2008",4.447,
"IRL","TAXSS","TOT","PC_GDP","A","2009",5.186,
"IRL","TAXSS","TOT","PC_GDP","A","2010",5.043,
"IRL","TAXSS","TOT","PC_GDP","A","2011",5.585,
"IRL","TAXSS","TOT","PC_GDP","A","2012",5.218,
"IRL","TAXSS","TOT","PC_GDP","A","2013",5.209,
"IRL","TAXSS","TOT","PC_GDP","A","2014",5.079,
"IRL","TAXSS","TOT","PC_GDP","A","2015",4.004,
"IRL","TAXSS","TOT","PC_GDP","A","2016",4.057,
"IRL","TAXSS","TOT","PC_GDP","A","2017",3.925,
"IRL","TAXSS","TOT","PC_GDP","A","2018",3.921,
"IRL","TAXSS","TOT","PC_GDP","A","2019",3.967,
