DATE,IRLTLT01IEM156N
1983-01-01,15.2204705882353
1983-02-01,14.4889125893348
1983-03-01,14.1840967564596
1983-04-01,13.8386388125344
1983-05-01,13.7268730071468
1983-06-01,13.8284782847718
1983-07-01,14.031688840022
1983-08-01,13.8183177570093
1983-09-01,13.9402440901594
1983-10-01,14.0418493677845
1983-11-01,13.9402440901594
1983-12-01,14.4685915338098
1984-01-01,14.1637757009346
1984-02-01,14.3873073117097
1984-03-01,14.3060230896097
1984-04-01,14.3669862561847
1984-05-01,14.7226047278725
1984-06-01,14.814049477735
1984-07-01,15.1290258383727
1984-08-01,15.1899890049478
1984-09-01,15.2204705882353
1984-10-01,15.2306311159978
1984-11-01,15.494804837823
1984-12-01,15.1391863661352
1985-01-01,15.0883837273227
1985-02-01,14.9258152831226
1985-03-01,14.3060230896097
1985-04-01,13.4728598130841
1985-05-01,13.2391676745465
1985-06-01,12.8124255085212
1985-07-01,11.9995832875206
1985-08-01,11.6033227047828
1985-09-01,11.887817482133
1985-10-01,11.847175371083
1985-11-01,12.3856833424959
1985-12-01,12.2535964815833
1986-01-01,12.4872886201209
1986-02-01,11.7455700934579
1986-03-01,10.424701484332
1986-04-01,9.43913029136888
1986-05-01,9.44929081913139
1986-06-01,9.77442770753161
1986-07-01,10.1605277625069
1986-08-01,10.9632094557449
1986-09-01,11.9081385376581
1986-10-01,13.8996019791094
1986-11-01,13.4626992853216
1986-12-01,13.1172413413964
1987-01-01,12.7311412864211
1987-02-01,12.8835492028587
1987-03-01,12.1519912039582
1987-04-01,11.044493677845
1987-05-01,10.7295173172073
1987-06-01,11.1156173721825
1987-07-01,11.2578647608576
1987-08-01,11.8573358988455
1987-09-01,11.4102726772952
1987-10-01,10.9835305112699
1987-11-01,10.4958251786696
1987-12-01,10.6177515118197
1988-01-01,10.4653435953821
1988-02-01,10.2621330401319
1988-03-01,9.97763826278175
1988-04-01,9.69314348543155
1988-05-01,9.73378559648158
1988-06-01,9.67282242990654
1988-07-01,9.56105662451896
1988-08-01,9.34768554150632
1988-09-01,9.22575920835624
1988-10-01,8.7278933479934
1988-11-01,8.80917757009346
1988-12-01,8.65676965365585
1989-01-01,8.59580648708081
1989-02-01,9.14447498625618
1989-03-01,8.94126443100605
1989-04-01,9.28672237493128
1989-05-01,9.62201979109401
1989-06-01,9.39848818031886
1989-07-01,8.77869598680594
1989-08-01,9.34768554150632
1989-09-01,9.35784606926883
1989-10-01,9.74394612424409
1989-11-01,9.81506981858164
1989-12-01,9.77442770753161
1990-01-01,9.85571192963166
1990-02-01,10.6075909840572
1990-03-01,11.125777899945
1990-04-01,10.5567883452446
1990-05-01,10.363738317757
1990-06-01,10.1910093457944
1990-07-01,9.83539087410665
1990-08-01,10.4653435953821
1990-09-01,10.9124068169324
1990-10-01,10.6380725673447
1990-11-01,10.5059857064321
1990-12-01,10.2113304013194
1991-01-01,10.2113304013194
1991-02-01,9.74394612424409
1991-03-01,9.50009345794392
1991-04-01,9.48993293018142
1991-05-01,9.40864870808136
1991-06-01,9.33752501374381
1991-07-01,9.55089609675646
1991-08-01,9.50009345794392
1991-09-01,9.43913029136888
1991-10-01,9.36800659703134
1991-11-01,9.36800659703134
1991-12-01,9.37816712479384
1992-01-01,9.00222759758109
1992-02-01,8.91078284771852
1992-03-01,9.13431445849368
1992-04-01,9.09367234744365
1992-05-01,8.96158548653106
1992-06-01,9.13431445849368
1992-07-01,9.36800659703134
1992-08-01,9.37816712479384
1992-09-01,10.0995645959318
1992-10-01,9.69314348543155
1992-11-01,10.5466278174821
1992-12-01,10.2722935678944
1993-01-01,9.88
1993-02-01,9.26
1993-03-01,8.62
1993-04-01,8.11
1993-05-01,7.83
1993-06-01,7.61
1993-07-01,7.32
1993-08-01,7.11
1993-09-01,7.01
1993-10-01,6.71
1993-11-01,6.57
1993-12-01,6.38
1994-01-01,6.15
1994-02-01,6.45
1994-03-01,7.07
1994-04-01,7.57
1994-05-01,7.96
1994-06-01,8.5
1994-07-01,8.34
1994-08-01,8.43
1994-09-01,8.82
1994-10-01,8.68
1994-11-01,8.51
1994-12-01,8.57
1995-01-01,8.79
1995-02-01,8.67
1995-03-01,8.8
1995-04-01,8.7
1995-05-01,8.34
1995-06-01,8.26
1995-07-01,8.39
1995-08-01,8.15
1995-09-01,7.96
1995-10-01,7.99
1995-11-01,7.63
1995-12-01,7.38
1996-01-01,7.23
1996-02-01,7.49
1996-03-01,7.82
1996-04-01,7.61
1996-05-01,7.5
1996-06-01,7.62
1996-07-01,7.49
1996-08-01,7.43
1996-09-01,7.21
1996-10-01,6.78
1996-11-01,6.68
1996-12-01,6.61
1997-01-01,6.59
1997-02-01,6.32
1997-03-01,6.62
1997-04-01,6.69
