"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","1989",61.960426,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","1991",59.80291,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","1992",57.777081,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","1994",54.771759,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","1995",52.839344,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2000",42.706924,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2001",44.735104,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2002",40.004444,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2003",38.298161,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2004",37.160995,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2005",35.466724,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.656101,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2007",32.273792,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.546635,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2009",28.832077,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2010",27.225185,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2011",26.365326,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2012",25.367115,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2013",23.273964,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2014",21.187292,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.182577,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2017",17.994549,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2018",16.825432,
"IRL","EDUADULT","BUPPSRY","PC_25_64","A","2019",16.342726,
