"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","EXCH","TOT","NATUSD","A","1983",1.02173,
"IRL","EXCH","TOT","NATUSD","A","1984",1.171401,
"IRL","EXCH","TOT","NATUSD","A","1985",1.200683,
"IRL","EXCH","TOT","NATUSD","A","1986",0.943578,
"IRL","EXCH","TOT","NATUSD","A","1987",0.854428,
"IRL","EXCH","TOT","NATUSD","A","1988",0.833542,
"IRL","EXCH","TOT","NATUSD","A","1989",0.895855,
"IRL","EXCH","TOT","NATUSD","A","1990",0.767669,
"IRL","EXCH","TOT","NATUSD","A","1991",0.788885,
"IRL","EXCH","TOT","NATUSD","A","1992",0.746252,
"IRL","EXCH","TOT","NATUSD","A","1993",0.859929,
"IRL","EXCH","TOT","NATUSD","A","1994",0.848983,
"IRL","EXCH","TOT","NATUSD","A","1995",0.791978,
"IRL","EXCH","TOT","NATUSD","A","1996",0.793622,
"IRL","EXCH","TOT","NATUSD","A","1997",0.837574,
"IRL","EXCH","TOT","NATUSD","A","1998",0.8917,
"IRL","EXCH","TOT","NATUSD","A","1999",0.938283,
"IRL","EXCH","TOT","NATUSD","A","2000",1.082705,
"IRL","EXCH","TOT","NATUSD","A","2001",1.116533,
"IRL","EXCH","TOT","NATUSD","A","2002",1.057559,
"IRL","EXCH","TOT","NATUSD","A","2003",0.884048,
"IRL","EXCH","TOT","NATUSD","A","2004",0.803922,
"IRL","EXCH","TOT","NATUSD","A","2005",0.8038,
"IRL","EXCH","TOT","NATUSD","A","2006",0.796433,
"IRL","EXCH","TOT","NATUSD","A","2007",0.729672,
"IRL","EXCH","TOT","NATUSD","A","2008",0.679923,
"IRL","EXCH","TOT","NATUSD","A","2009",0.716958,
"IRL","EXCH","TOT","NATUSD","A","2010",0.754309,
"IRL","EXCH","TOT","NATUSD","A","2011",0.718414,
"IRL","EXCH","TOT","NATUSD","A","2012",0.778338,
"IRL","EXCH","TOT","NATUSD","A","2013",0.752945,
"IRL","EXCH","TOT","NATUSD","A","2014",0.752728,
"IRL","EXCH","TOT","NATUSD","A","2015",0.901296,
"IRL","EXCH","TOT","NATUSD","A","2016",0.903421,
"IRL","EXCH","TOT","NATUSD","A","2017",0.885206,
"IRL","EXCH","TOT","NATUSD","A","2018",0.846773,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"IRL","EXCH","TOT","NATUSD","A","2020",0.875506,
