"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","CPI","TOT","AGRWTH","M","1979-12",15.85903,
"IRL","CPI","TOT","AGRWTH","M","1980-01",15.67797,
"IRL","CPI","TOT","AGRWTH","M","1980-02",15.67797,
"IRL","CPI","TOT","AGRWTH","M","1980-03",15.67797,
"IRL","CPI","TOT","AGRWTH","M","1980-04",20.08197,
"IRL","CPI","TOT","AGRWTH","M","1980-05",20.08197,
"IRL","CPI","TOT","AGRWTH","M","1980-06",20.08197,
"IRL","CPI","TOT","AGRWTH","M","1980-07",18.50394,
"IRL","CPI","TOT","AGRWTH","M","1980-08",18.50394,
"IRL","CPI","TOT","AGRWTH","M","1980-09",18.50394,
"IRL","CPI","TOT","AGRWTH","M","1980-10",18.25095,
"IRL","CPI","TOT","AGRWTH","M","1980-11",18.25095,
"IRL","CPI","TOT","AGRWTH","M","1980-12",18.25095,
"IRL","CPI","TOT","AGRWTH","M","1981-01",20.87912,
"IRL","CPI","TOT","AGRWTH","M","1981-02",20.87912,
"IRL","CPI","TOT","AGRWTH","M","1981-03",20.87912,
"IRL","CPI","TOT","AGRWTH","M","1981-04",17.06485,
"IRL","CPI","TOT","AGRWTH","M","1981-05",17.06485,
"IRL","CPI","TOT","AGRWTH","M","1981-06",17.06485,
"IRL","CPI","TOT","AGRWTH","M","1981-07",20.26578,
"IRL","CPI","TOT","AGRWTH","M","1981-08",20.26578,
"IRL","CPI","TOT","AGRWTH","M","1981-09",20.26578,
"IRL","CPI","TOT","AGRWTH","M","1981-10",23.15112,
"IRL","CPI","TOT","AGRWTH","M","1981-11",23.15112,
"IRL","CPI","TOT","AGRWTH","M","1981-12",23.15112,
"IRL","CPI","TOT","AGRWTH","M","1982-01",18.78788,
"IRL","CPI","TOT","AGRWTH","M","1982-02",18.78788,
"IRL","CPI","TOT","AGRWTH","M","1982-03",18.78788,
"IRL","CPI","TOT","AGRWTH","M","1982-04",20.99125,
"IRL","CPI","TOT","AGRWTH","M","1982-05",20.99125,
"IRL","CPI","TOT","AGRWTH","M","1982-06",20.99125,
"IRL","CPI","TOT","AGRWTH","M","1982-07",17.12707,
"IRL","CPI","TOT","AGRWTH","M","1982-08",17.12707,
"IRL","CPI","TOT","AGRWTH","M","1982-09",17.12707,
"IRL","CPI","TOT","AGRWTH","M","1982-10",12.27154,
"IRL","CPI","TOT","AGRWTH","M","1982-11",12.32875,
"IRL","CPI","TOT","AGRWTH","M","1982-12",12.32875,
"IRL","CPI","TOT","AGRWTH","M","1983-01",12.4136,
"IRL","CPI","TOT","AGRWTH","M","1983-02",12.4136,
"IRL","CPI","TOT","AGRWTH","M","1983-03",12.4136,
"IRL","CPI","TOT","AGRWTH","M","1983-04",9.202882,
"IRL","CPI","TOT","AGRWTH","M","1983-05",9.202882,
"IRL","CPI","TOT","AGRWTH","M","1983-06",9.202882,
"IRL","CPI","TOT","AGRWTH","M","1983-07",9.840239,
"IRL","CPI","TOT","AGRWTH","M","1983-08",9.840239,
"IRL","CPI","TOT","AGRWTH","M","1983-09",9.840239,
"IRL","CPI","TOT","AGRWTH","M","1983-10",10.49316,
"IRL","CPI","TOT","AGRWTH","M","1983-11",10.43689,
"IRL","CPI","TOT","AGRWTH","M","1983-12",10.43689,
"IRL","CPI","TOT","AGRWTH","M","1984-01",10.42654,
"IRL","CPI","TOT","AGRWTH","M","1984-02",10.42654,
"IRL","CPI","TOT","AGRWTH","M","1984-03",10.42654,
"IRL","CPI","TOT","AGRWTH","M","1984-04",9.67742,
"IRL","CPI","TOT","AGRWTH","M","1984-05",9.67742,
"IRL","CPI","TOT","AGRWTH","M","1984-06",9.67742,
"IRL","CPI","TOT","AGRWTH","M","1984-07",8.071749,
"IRL","CPI","TOT","AGRWTH","M","1984-08",8.071749,
"IRL","CPI","TOT","AGRWTH","M","1984-09",8.071749,
"IRL","CPI","TOT","AGRWTH","M","1984-10",6.593407,
"IRL","CPI","TOT","AGRWTH","M","1984-11",6.593407,
"IRL","CPI","TOT","AGRWTH","M","1984-12",6.593407,
"IRL","CPI","TOT","AGRWTH","M","1985-01",6.008584,
"IRL","CPI","TOT","AGRWTH","M","1985-02",6.008584,
"IRL","CPI","TOT","AGRWTH","M","1985-03",6.008584,
"IRL","CPI","TOT","AGRWTH","M","1985-04",5.252101,
"IRL","CPI","TOT","AGRWTH","M","1985-05",5.252101,
"IRL","CPI","TOT","AGRWTH","M","1985-06",5.252101,
"IRL","CPI","TOT","AGRWTH","M","1985-07",5.394191,
"IRL","CPI","TOT","AGRWTH","M","1985-08",5.394191,
"IRL","CPI","TOT","AGRWTH","M","1985-09",5.394191,
"IRL","CPI","TOT","AGRWTH","M","1985-10",4.948453,
"IRL","CPI","TOT","AGRWTH","M","1985-11",4.948453,
"IRL","CPI","TOT","AGRWTH","M","1985-12",4.948453,
