DATE,WTISPLC
1982-01-01,33.850
1982-02-01,31.560
1982-03-01,28.480
1982-04-01,33.450
1982-05-01,35.930
1982-06-01,35.070
1982-07-01,34.160
1982-08-01,33.950
1982-09-01,35.630
1982-10-01,35.680
1982-11-01,34.150
1982-12-01,31.720
1983-01-01,31.190
1983-02-01,28.950
1983-03-01,28.820
1983-04-01,30.610
1983-05-01,30.000
1983-06-01,31.000
1983-07-01,31.660
1983-08-01,31.910
1983-09-01,31.110
1983-10-01,30.410
1983-11-01,29.840
1983-12-01,29.240
1984-01-01,29.690
1984-02-01,30.1450
1984-03-01,30.7610
1984-04-01,30.6180
1984-05-01,30.520
1984-06-01,29.9670
1984-07-01,28.7520
1984-08-01,29.250
1984-09-01,29.3110
1984-10-01,28.7650
1984-11-01,28.0980
1984-12-01,25.4290
1985-01-01,25.6410
1985-02-01,27.2710
1985-03-01,28.2380
1985-04-01,28.8050
1985-05-01,27.6230
1985-06-01,27.1430
1985-07-01,27.3290
1985-08-01,27.7550
1985-09-01,28.2890
1985-10-01,29.5380
1985-11-01,30.8130
1985-12-01,27.2280
1986-01-01,22.9450
1986-02-01,15.4420
1986-03-01,12.6180
1986-04-01,12.8470
1986-05-01,15.4440
1986-06-01,13.4690
1986-07-01,11.5750
1986-08-01,15.0920
1986-09-01,14.9130
1986-10-01,14.8520
1986-11-01,15.2070
1986-12-01,16.0760
1987-01-01,18.6560
1987-02-01,17.7260
1987-03-01,18.3050
1987-04-01,18.6430
1987-05-01,19.4150
1987-06-01,20.0340
1987-07-01,21.3550
1987-08-01,20.2740
1987-09-01,19.5260
1987-10-01,19.8480
1987-11-01,18.920
1987-12-01,17.2410
1988-01-01,17.160
1988-02-01,16.7650
1988-03-01,16.2170
1988-04-01,17.8750
1988-05-01,17.4380
1988-06-01,16.530
1988-07-01,15.4980
1988-08-01,15.5240
1988-09-01,14.4670
1988-10-01,13.7980
1988-11-01,13.9770
1988-12-01,16.2660
1989-01-01,17.9830
1989-02-01,17.8260
1989-03-01,19.4450
1989-04-01,21.040
1989-05-01,20.0320
1989-06-01,20.0050
1989-07-01,19.6440
1989-08-01,18.5220
1989-09-01,19.5940
1989-10-01,20.0910
1989-11-01,19.820
1989-12-01,21.0880
1990-01-01,22.6410
1990-02-01,22.1080
1990-03-01,20.4180
