"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","HUR","TOT","PC_LF","M","1983-01",12.9,
"IRL","HUR","TOT","PC_LF","M","1983-02",13.2,
"IRL","HUR","TOT","PC_LF","M","1983-03",13.4,
"IRL","HUR","TOT","PC_LF","M","1983-04",13.5,
"IRL","HUR","TOT","PC_LF","M","1983-05",13.7,
"IRL","HUR","TOT","PC_LF","M","1983-06",13.9,
"IRL","HUR","TOT","PC_LF","M","1983-07",14,
"IRL","HUR","TOT","PC_LF","M","1983-08",14.1,
"IRL","HUR","TOT","PC_LF","M","1983-09",14.3,
"IRL","HUR","TOT","PC_LF","M","1983-10",14.5,
"IRL","HUR","TOT","PC_LF","M","1983-11",14.6,
"IRL","HUR","TOT","PC_LF","M","1983-12",14.7,
"IRL","HUR","TOT","PC_LF","M","1984-01",14.9,
"IRL","HUR","TOT","PC_LF","M","1984-02",15.1,
"IRL","HUR","TOT","PC_LF","M","1984-03",15.2,
"IRL","HUR","TOT","PC_LF","M","1984-04",15.3,
"IRL","HUR","TOT","PC_LF","M","1984-05",15.4,
"IRL","HUR","TOT","PC_LF","M","1984-06",15.4,
"IRL","HUR","TOT","PC_LF","M","1984-07",15.5,
"IRL","HUR","TOT","PC_LF","M","1984-08",15.6,
"IRL","HUR","TOT","PC_LF","M","1984-09",15.7,
"IRL","HUR","TOT","PC_LF","M","1984-10",15.8,
"IRL","HUR","TOT","PC_LF","M","1984-11",16,
"IRL","HUR","TOT","PC_LF","M","1984-12",16.1,
"IRL","HUR","TOT","PC_LF","M","1985-01",16.3,
"IRL","HUR","TOT","PC_LF","M","1985-02",16.6,
"IRL","HUR","TOT","PC_LF","M","1985-03",16.6,
"IRL","HUR","TOT","PC_LF","M","1985-04",16.7,
"IRL","HUR","TOT","PC_LF","M","1985-05",16.7,
"IRL","HUR","TOT","PC_LF","M","1985-06",16.8,
"IRL","HUR","TOT","PC_LF","M","1985-07",16.9,
"IRL","HUR","TOT","PC_LF","M","1985-08",17,
"IRL","HUR","TOT","PC_LF","M","1985-09",17.1,
"IRL","HUR","TOT","PC_LF","M","1985-10",17,
"IRL","HUR","TOT","PC_LF","M","1985-11",16.9,
"IRL","HUR","TOT","PC_LF","M","1985-12",17,
"IRL","HUR","TOT","PC_LF","M","1986-01",16.9,
"IRL","HUR","TOT","PC_LF","M","1986-02",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-03",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-04",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-05",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-06",16.9,
"IRL","HUR","TOT","PC_LF","M","1986-07",16.9,
"IRL","HUR","TOT","PC_LF","M","1986-08",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-09",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-10",16.7,
"IRL","HUR","TOT","PC_LF","M","1986-11",16.8,
"IRL","HUR","TOT","PC_LF","M","1986-12",16.8,
"IRL","HUR","TOT","PC_LF","M","1987-01",16.8,
"IRL","HUR","TOT","PC_LF","M","1987-02",16.7,
"IRL","HUR","TOT","PC_LF","M","1987-03",16.7,
"IRL","HUR","TOT","PC_LF","M","1987-04",16.7,
"IRL","HUR","TOT","PC_LF","M","1987-05",16.7,
"IRL","HUR","TOT","PC_LF","M","1987-06",16.7,
"IRL","HUR","TOT","PC_LF","M","1987-07",16.6,
"IRL","HUR","TOT","PC_LF","M","1987-08",16.5,
"IRL","HUR","TOT","PC_LF","M","1987-09",16.5,
"IRL","HUR","TOT","PC_LF","M","1987-10",16.5,
"IRL","HUR","TOT","PC_LF","M","1987-11",16.5,
"IRL","HUR","TOT","PC_LF","M","1987-12",16.5,
"IRL","HUR","TOT","PC_LF","M","1988-01",16.5,
"IRL","HUR","TOT","PC_LF","M","1988-02",16.5,
"IRL","HUR","TOT","PC_LF","M","1988-03",16.5,
"IRL","HUR","TOT","PC_LF","M","1988-04",16.4,
"IRL","HUR","TOT","PC_LF","M","1988-05",16.3,
"IRL","HUR","TOT","PC_LF","M","1988-06",16.3,
"IRL","HUR","TOT","PC_LF","M","1988-07",16.2,
"IRL","HUR","TOT","PC_LF","M","1988-08",16.2,
"IRL","HUR","TOT","PC_LF","M","1988-09",16.1,
"IRL","HUR","TOT","PC_LF","M","1988-10",16,
"IRL","HUR","TOT","PC_LF","M","1988-11",15.8,
"IRL","HUR","TOT","PC_LF","M","1988-12",15.7,
"IRL","HUR","TOT","PC_LF","M","1989-01",15.5,
"IRL","HUR","TOT","PC_LF","M","1989-02",15.4,
"IRL","HUR","TOT","PC_LF","M","1989-03",15.2,
"IRL","HUR","TOT","PC_LF","M","1989-04",15.1,
"IRL","HUR","TOT","PC_LF","M","1989-05",15,
"IRL","HUR","TOT","PC_LF","M","1989-06",14.9,
"IRL","HUR","TOT","PC_LF","M","1989-07",14.6,
"IRL","HUR","TOT","PC_LF","M","1989-08",14.5,
"IRL","HUR","TOT","PC_LF","M","1989-09",14.3,
"IRL","HUR","TOT","PC_LF","M","1989-10",14.2,
"IRL","HUR","TOT","PC_LF","M","1989-11",14.1,
"IRL","HUR","TOT","PC_LF","M","1989-12",13.9,
"IRL","HUR","TOT","PC_LF","M","1990-01",13.8,
"IRL","HUR","TOT","PC_LF","M","1990-02",13.7,
"IRL","HUR","TOT","PC_LF","M","1990-03",13.4,
"IRL","HUR","TOT","PC_LF","M","1990-04",13.2,
"IRL","HUR","TOT","PC_LF","M","1990-05",13.2,
"IRL","HUR","TOT","PC_LF","M","1990-06",13.2,
"IRL","HUR","TOT","PC_LF","M","1990-07",13.2,
"IRL","HUR","TOT","PC_LF","M","1990-08",13.3,
"IRL","HUR","TOT","PC_LF","M","1990-09",13.3,
"IRL","HUR","TOT","PC_LF","M","1990-10",13.4,
"IRL","HUR","TOT","PC_LF","M","1990-11",13.6,
"IRL","HUR","TOT","PC_LF","M","1990-12",13.7,
"IRL","HUR","TOT","PC_LF","M","1991-01",13.9,
"IRL","HUR","TOT","PC_LF","M","1991-02",14.1,
"IRL","HUR","TOT","PC_LF","M","1991-03",14.3,
"IRL","HUR","TOT","PC_LF","M","1991-04",14.6,
"IRL","HUR","TOT","PC_LF","M","1991-05",14.7,
"IRL","HUR","TOT","PC_LF","M","1991-06",14.8,
"IRL","HUR","TOT","PC_LF","M","1991-07",15,
"IRL","HUR","TOT","PC_LF","M","1991-08",15,
"IRL","HUR","TOT","PC_LF","M","1991-09",15.1,
"IRL","HUR","TOT","PC_LF","M","1991-10",15.1,
"IRL","HUR","TOT","PC_LF","M","1991-11",15.1,
"IRL","HUR","TOT","PC_LF","M","1991-12",15.1,
"IRL","HUR","TOT","PC_LF","M","1992-01",15.1,
"IRL","HUR","TOT","PC_LF","M","1992-02",15.2,
"IRL","HUR","TOT","PC_LF","M","1992-03",15.3,
"IRL","HUR","TOT","PC_LF","M","1992-04",15.3,
"IRL","HUR","TOT","PC_LF","M","1992-05",15.2,
"IRL","HUR","TOT","PC_LF","M","1992-06",15.2,
"IRL","HUR","TOT","PC_LF","M","1992-07",15.4,
"IRL","HUR","TOT","PC_LF","M","1992-08",15.5,
"IRL","HUR","TOT","PC_LF","M","1992-09",15.6,
"IRL","HUR","TOT","PC_LF","M","1992-10",15.6,
"IRL","HUR","TOT","PC_LF","M","1992-11",15.7,
"IRL","HUR","TOT","PC_LF","M","1992-12",15.7,
"IRL","HUR","TOT","PC_LF","M","1993-01",15.8,
"IRL","HUR","TOT","PC_LF","M","1993-02",15.9,
"IRL","HUR","TOT","PC_LF","M","1993-03",15.8,
"IRL","HUR","TOT","PC_LF","M","1993-04",15.8,
"IRL","HUR","TOT","PC_LF","M","1993-05",15.8,
"IRL","HUR","TOT","PC_LF","M","1993-06",15.7,
"IRL","HUR","TOT","PC_LF","M","1993-07",15.6,
"IRL","HUR","TOT","PC_LF","M","1993-08",15.5,
"IRL","HUR","TOT","PC_LF","M","1993-09",15.5,
"IRL","HUR","TOT","PC_LF","M","1993-10",15.4,
"IRL","HUR","TOT","PC_LF","M","1993-11",15.4,
"IRL","HUR","TOT","PC_LF","M","1993-12",15.4,
"IRL","HUR","TOT","PC_LF","M","1994-01",15.3,
"IRL","HUR","TOT","PC_LF","M","1994-02",15.1,
"IRL","HUR","TOT","PC_LF","M","1994-03",15,
"IRL","HUR","TOT","PC_LF","M","1994-04",14.8,
"IRL","HUR","TOT","PC_LF","M","1994-05",14.7,
"IRL","HUR","TOT","PC_LF","M","1994-06",14.5,
"IRL","HUR","TOT","PC_LF","M","1994-07",14.4,
"IRL","HUR","TOT","PC_LF","M","1994-08",14.1,
"IRL","HUR","TOT","PC_LF","M","1994-09",13.9,
"IRL","HUR","TOT","PC_LF","M","1994-10",13.7,
"IRL","HUR","TOT","PC_LF","M","1994-11",13.5,
"IRL","HUR","TOT","PC_LF","M","1994-12",13.2,
"IRL","HUR","TOT","PC_LF","M","1995-01",12.9,
"IRL","HUR","TOT","PC_LF","M","1995-02",12.7,
"IRL","HUR","TOT","PC_LF","M","1995-03",12.5,
"IRL","HUR","TOT","PC_LF","M","1995-04",12.3,
"IRL","HUR","TOT","PC_LF","M","1995-05",12.2,
"IRL","HUR","TOT","PC_LF","M","1995-06",12.2,
"IRL","HUR","TOT","PC_LF","M","1995-07",12.1,
"IRL","HUR","TOT","PC_LF","M","1995-08",12.1,
"IRL","HUR","TOT","PC_LF","M","1995-09",12.1,
"IRL","HUR","TOT","PC_LF","M","1995-10",12.1,
"IRL","HUR","TOT","PC_LF","M","1995-11",12.1,
"IRL","HUR","TOT","PC_LF","M","1995-12",12.1,
"IRL","HUR","TOT","PC_LF","M","1996-01",12.1,
"IRL","HUR","TOT","PC_LF","M","1996-02",12,
"IRL","HUR","TOT","PC_LF","M","1996-03",11.9,
"IRL","HUR","TOT","PC_LF","M","1996-04",11.9,
"IRL","HUR","TOT","PC_LF","M","1996-05",11.8,
"IRL","HUR","TOT","PC_LF","M","1996-06",11.8,
"IRL","HUR","TOT","PC_LF","M","1996-07",11.7,
"IRL","HUR","TOT","PC_LF","M","1996-08",11.7,
"IRL","HUR","TOT","PC_LF","M","1996-09",11.5,
"IRL","HUR","TOT","PC_LF","M","1996-10",11.3,
"IRL","HUR","TOT","PC_LF","M","1996-11",11.1,
"IRL","HUR","TOT","PC_LF","M","1996-12",11,
"IRL","HUR","TOT","PC_LF","M","1997-01",10.8,
"IRL","HUR","TOT","PC_LF","M","1997-02",10.6,
"IRL","HUR","TOT","PC_LF","M","1997-03",10.5,
"IRL","HUR","TOT","PC_LF","M","1997-04",10.4,
"IRL","HUR","TOT","PC_LF","M","1997-05",10.2,
"IRL","HUR","TOT","PC_LF","M","1997-06",10,
"IRL","HUR","TOT","PC_LF","M","1997-07",9.8,
"IRL","HUR","TOT","PC_LF","M","1997-08",9.6,
"IRL","HUR","TOT","PC_LF","M","1997-09",9.4,
"IRL","HUR","TOT","PC_LF","M","1997-10",9.2,
"IRL","HUR","TOT","PC_LF","M","1997-11",9,
